age,gender,spotify_usage_period,spotify_listening_device,spotify_subscription_plan,premium_sub_willingness,preffered_premium_plan,preferred_listening_content,fav_music_genre,music_time_slot,music_influencial_mood,music_lis_frequency,music_expl_method,music_recc_rating,pod_lis_frequency,fav_pod_genre,preffered_pod_format,pod_host_preference,preffered_pod_duration,pod_variety_satisfaction,premium_sub_willingness_binary,uses_smartphone,uses_computer,uses_speaker,uses_wearable,device_diversity,primary_listening_device,Age_Segment,Relaxation,Motivational,Sadness,Social,Uses_Recommendations,Uses_Playlists,Uses_Radio,Uses_External,music_expl_category,Travel_Listening,Leisure_Listening,Workout_Listening,Study_Listening,Office_Listening,Night_Winddown,pod_lis_category
20-35,Female,More than 2 years,"Smartphone, Computer or laptop, Wearable devices",Free,No,None,Music,Electronic/Dance,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists, Others",4,Rarely,Health and Fitness,Conversational,Both,Shorter,Ok,0,1,1,0,1,3,Smartphone,Young Adult,1,1,1,1,1,1,0,1,Hybrid: Rec + Playlist,1,1,1,0,0,0,Light user
20-35,Female,Less than 6 months,Smartphone,Free,No,None,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, leisure time",recommendations,3,Never,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,1,0,0,1,0,0,0,Algorithm-driven,1,1,0,0,0,0,Non-podcast user
20-35,Male,1 year to 2 years,"Smartphone, Smart speakers or voice assistants",Free,No,None,Music,Rap,Night,"Relaxation and stress relief, Uplifting and motivational",leisure time,recommendations,4,Never,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Ok,0,1,0,1,0,2,Smartphone,Young Adult,1,1,0,0,1,0,0,0,Algorithm-driven,0,1,0,0,0,0,Non-podcast user
20-35,Female,Less than 6 months,Wearable devices,Free,No,None,Music,Melody,Morning,Relaxation and stress relief,leisure time,"recommendations, Others",3,Never,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Ok,0,0,0,0,1,1,Wearable,Young Adult,1,0,0,0,1,0,0,1,Algorithm-driven,0,1,0,0,0,0,Non-podcast user
20-35,Male,6 months to 1 year,"Smartphone, Computer or laptop",Free,Yes,Student plan,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, Workout session, leisure time","recommendations, Playlists, Radio",5,Never,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Ok,1,1,1,0,0,2,Smartphone,Young Adult,1,1,0,0,1,1,1,0,Hybrid: Rec + Playlist,1,1,1,0,0,0,Non-podcast user
20-35,Male,More than 2 years,"Smartphone, Computer or laptop",Free,No,None,Podcast,Rap,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, Workout session","recommendations, Playlists",5,Several times a week,Lifestyle and Health,Educational,Well known individuals,Both,Satisfied,0,1,1,0,0,2,Smartphone,Young Adult,1,1,0,0,1,1,0,0,Hybrid: Rec + Playlist,1,0,1,0,0,0,Regular user
35-60,Male,More than 2 years,Smartphone,Free,Yes,Individual plan,Music,Melody,Night,Uplifting and motivational,"While Traveling, Workout session, leisure time",Playlists,4,Never,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Ok,1,1,0,0,0,1,Smartphone,Adult Listener,0,1,0,0,0,1,0,0,Playlist-driven,1,1,1,0,0,0,Non-podcast user
20-35,Female,Less than 6 months,Smartphone,Free,No,None,Music,Melody,Night,Relaxation and stress relief,leisure time,recommendations,4,Rarely,Food and cooking,Interview,Well known individuals,Shorter,Very Satisfied,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,1,0,0,0,Algorithm-driven,0,1,0,0,0,0,Light user
20-35,Male,More than 2 years,"Smartphone, Smart speakers or voice assistants, Wearable devices",Free,No,None,Music,Other,Night,Relaxation and stress relief,leisure time,Playlists,3,Never,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Ok,0,1,0,1,1,3,Smartphone,Young Adult,1,0,0,0,0,1,0,0,Playlist-driven,0,1,0,0,0,0,Non-podcast user
20-35,Female,6 months to 1 year,Smartphone,Free,No,None,Music,Pop,Night,Relaxation and stress relief,"While Traveling, leisure time",recommendations,4,Rarely,Lifestyle and Health,Conversational,Both,Shorter,Satisfied,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,1,0,0,0,Algorithm-driven,1,1,0,0,0,0,Light user
20-35,Male,1 year to 2 years,"Smartphone, Computer or laptop",Premium,Yes,Family plan,Music,Melody,Night,Relaxation and stress relief,While Traveling,Playlists,5,Daily,Health and Fitness,Story telling,Both,Both,Satisfied,1,1,1,0,0,2,Smartphone,Young Adult,1,0,0,0,0,1,0,0,Playlist-driven,1,0,0,0,0,0,Regular user
35-60,Female,Less than 6 months,Smartphone,Free,No,None,Podcast,Classical,Night,Relaxation and stress relief,leisure time,recommendations,4,Several times a week,Lifestyle and Health,Conversational,Well known individuals,Shorter,Satisfied,0,1,0,0,0,1,Smartphone,Adult Listener,1,0,0,0,1,0,0,0,Algorithm-driven,0,1,0,0,0,0,Regular user
20-35,Female,Less than 6 months,Smartphone,Free,No,None,Podcast,Melody,Night,Relaxation and stress relief,leisure time,"Radio, Others",4,Rarely,Lifestyle and Health,Educational,Both,Both,Satisfied,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,0,0,1,1,Radio/Autoplay,0,1,0,0,0,0,Light user
20-35,Female,More than 2 years,Smartphone,Premium,Yes,Individual plan,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","Radio, Others",3,Rarely,Lifestyle and Health,Conversational,Well known individuals,Shorter,Very Satisfied,1,1,0,0,0,1,Smartphone,Young Adult,1,0,1,1,0,0,1,1,Radio/Autoplay,1,1,1,0,0,0,Light user
20-35,Female,Less than 6 months,Smartphone,Free,No,None,Music,Pop,Night,Relaxation and stress relief,"Workout session, leisure time",recommendations,3,Rarely,Comedy,Conversational,Well known individuals,Shorter,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,1,0,0,0,Algorithm-driven,0,1,1,0,0,0,Light user
20-35,Male,More than 2 years,Smartphone,Free,No,None,Music,Pop,Night,Relaxation and stress relief,While Traveling,recommendations,5,Rarely,Comedy,Interview,Both,Shorter,Satisfied,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,1,0,0,0,Algorithm-driven,1,0,0,0,0,0,Light user
12-20,Male,More than 2 years,Smartphone,Premium,No,None,Music,Melody,Afternoon,Relaxation and stress relief,"While Traveling, leisure time",recommendations,3,Rarely,Comedy,Story telling,Both,Both,Ok,0,1,0,0,0,1,Smartphone,Teen Listener,1,0,0,0,1,0,0,0,Algorithm-driven,1,1,0,0,0,0,Light user
20-35,Male,1 year to 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants, Wearable devices",Free,No,None,Music,Melody,Afternoon,Relaxation and stress relief,"Office hours, While Traveling, leisure time","recommendations, Playlists",5,Never,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Ok,0,1,1,1,1,4,Smartphone,Young Adult,1,0,0,0,1,1,0,0,Hybrid: Rec + Playlist,1,1,0,0,1,0,Non-podcast user
20-35,Female,Less than 6 months,Smartphone,Free,No,None,Music,Electronic/Dance,Night,Relaxation and stress relief,leisure time,Others,4,Rarely,Sports,Educational,unknown Podcasters,Both,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,0,0,0,1,External Discovery,0,1,0,0,0,0,Light user
20-35,Female,1 year to 2 years,Smartphone,Free,No,None,Music,Pop,Night,Relaxation and stress relief,"While Traveling, Workout session, leisure time",Playlists,5,Several times a week,Comedy,Story telling,unknown Podcasters,Shorter,Very Satisfied,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,0,1,0,0,Playlist-driven,1,1,1,0,0,0,Regular user
20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free,No,None,Music,Classical,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, While Traveling, leisure time","recommendations, Playlists",4,Never,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Ok,0,1,1,0,0,2,Smartphone,Young Adult,1,1,1,1,1,1,0,0,Hybrid: Rec + Playlist,1,1,0,0,1,0,Non-podcast user
20-35,Female,1 year to 2 years,Computer or laptop,Free,Yes,Duo plan,Music,Melody,Night,Uplifting and motivational,Workout session,Radio,3,Rarely,Food and cooking,Educational,Well known individuals,Both,Satisfied,1,0,1,0,0,1,Computer,Young Adult,0,1,0,0,0,0,1,0,Radio/Autoplay,0,0,1,0,0,0,Light user
20-35,Female,1 year to 2 years,Smartphone,Free,Yes,Student plan,Music,Melody,Morning,Relaxation and stress relief,While Traveling,"recommendations, Playlists",5,Never,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Ok,1,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,1,1,0,0,Hybrid: Rec + Playlist,1,0,0,0,0,0,Non-podcast user
20-35,Female,1 year to 2 years,Smartphone,Free,No,None,Music,Melody,Afternoon,"Relaxation and stress relief, Uplifting and motivational",leisure time,recommendations,4,Rarely,Food and cooking,Conversational,Both,Shorter,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,1,0,0,1,0,0,0,Algorithm-driven,0,1,0,0,0,0,Light user
20-35,Male,More than 2 years,Smartphone,Premium,Yes,Family plan,Podcast,Pop,Night,Uplifting and motivational,Study Hours,recommendations,3,Several times a week,Sports,Conversational,Well known individuals,Longer,Very Satisfied,1,1,0,0,0,1,Smartphone,Young Adult,0,1,0,0,1,0,0,0,Algorithm-driven,0,0,0,1,0,0,Regular user
20-35,Female,6 months to 1 year,Smartphone,Free,No,None,Music,Melody,Night,Relaxation and stress relief,leisure time,Playlists,4,Rarely,Comedy,Conversational,Both,Shorter,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,0,1,0,0,Playlist-driven,0,1,0,0,0,0,Light user
20-35,Male,More than 2 years,"Smartphone, Computer or laptop",Premium,Yes,Individual plan,Music,Electronic/Dance,Night,Relaxation and stress relief,leisure time,"recommendations, Playlists",4,Rarely,Lifestyle and Health,Educational,No Podcast Usage,No Podcast Usage,Ok,1,1,1,0,0,2,Smartphone,Young Adult,1,0,0,0,1,1,0,0,Hybrid: Rec + Playlist,0,1,0,0,0,0,Light user
20-35,Male,Less than 6 months,Smartphone,Free,No,None,Music,Classical,Night,Relaxation and stress relief,While Traveling,recommendations,5,Rarely,Sports,No Podcast Usage,Well known individuals,Shorter,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,1,0,0,0,Algorithm-driven,1,0,0,0,0,0,Light user
20-35,Male,More than 2 years,Smartphone,Free,No,None,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time","recommendations, Playlists",4,Never,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,1,1,0,0,Hybrid: Rec + Playlist,1,1,0,0,0,0,Non-podcast user
20-35,Female,6 months to 1 year,Smartphone,Free,No,None,Music,Melody,Night,Relaxation and stress relief,"While Traveling, Workout session",Playlists,3,Daily,Lifestyle and Health,Story telling,Well known individuals,Shorter,Very Satisfied,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,0,1,0,0,Playlist-driven,1,0,1,0,0,0,Regular user
20-35,Male,1 year to 2 years,"Smartphone, Smart speakers or voice assistants",Free,No,None,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","Office hours, While Traveling","Radio, Others",4,Several times a week,Sports,Educational,Both,Longer,Satisfied,0,1,0,1,0,2,Smartphone,Young Adult,1,1,0,0,0,0,1,1,Radio/Autoplay,1,0,0,0,1,0,Regular user
20-35,Male,More than 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants",Premium,Yes,Individual plan,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time","recommendations, Playlists",4,Never,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Ok,1,1,1,1,0,3,Smartphone,Young Adult,1,0,0,0,1,1,0,0,Hybrid: Rec + Playlist,1,1,0,0,0,0,Non-podcast user
20-35,Female,Less than 6 months,Smartphone,Free,No,None,Music,Pop,Morning,Uplifting and motivational,"While Traveling, Workout session","recommendations, Playlists",4,Rarely,Lifestyle and Health,Conversational,Both,Both,Ok,0,1,0,0,0,1,Smartphone,Young Adult,0,1,0,0,1,1,0,0,Hybrid: Rec + Playlist,1,0,1,0,0,0,Light user
20-35,Female,1 year to 2 years,Smartphone,Free,No,None,Music,Melody,Night,Relaxation and stress relief,leisure time,Playlists,4,Rarely,Comedy,Conversational,Well known individuals,Shorter,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,0,1,0,0,Playlist-driven,0,1,0,0,0,0,Light user
20-35,Female,6 months to 1 year,Smartphone,Free,No,None,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy, Social gatherings or parties","While Traveling, leisure time",Playlists,5,Several times a week,Comedy,Interview,Well known individuals,Shorter,Very Satisfied,0,1,0,0,0,1,Smartphone,Young Adult,1,0,1,1,0,1,0,0,Playlist-driven,1,1,0,0,0,0,Regular user
12-20,Female,1 year to 2 years,Smart speakers or voice assistants,Free,Yes,Duo plan,Podcast,Classical,Morning,Sadness or melancholy,While Traveling,Radio,3,Once a week,Health and Fitness,Story telling,unknown Podcasters,Both,Satisfied,1,0,0,1,0,1,Speaker,Teen Listener,0,0,1,0,0,0,1,0,Radio/Autoplay,1,0,0,0,0,0,Light user
20-35,Female,1 year to 2 years,Smart speakers or voice assistants,Premium,Yes,Family plan,Podcast,Rap,Afternoon,"Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session","Playlists, Radio",3,Once a week,Sports,Interview,Well known individuals,Shorter,Satisfied,1,0,0,1,0,1,Speaker,Young Adult,0,0,1,1,0,1,1,0,Playlist-driven,1,0,1,0,0,0,Light user
12-20,Female,6 months to 1 year,Smart speakers or voice assistants,Premium,Yes,Duo plan,Podcast,Classical,Afternoon,Uplifting and motivational,While Traveling,Radio,2,Once a week,Health and Fitness,Story telling,unknown Podcasters,Longer,Ok,1,0,0,1,0,1,Speaker,Teen Listener,0,1,0,0,0,0,1,0,Radio/Autoplay,1,0,0,0,0,0,Light user
12-20,Female,1 year to 2 years,Computer or laptop,Free,Yes,Duo plan,Podcast,Rap,Morning,Uplifting and motivational,While Traveling,Radio,2,Once a week,Health and Fitness,Story telling,unknown Podcasters,Both,Ok,1,0,1,0,0,1,Computer,Teen Listener,0,1,0,0,0,0,1,0,Radio/Autoplay,1,0,0,0,0,0,Light user
12-20,Female,6 months to 1 year,Computer or laptop,Free,Yes,Duo plan,Podcast,Classical,Afternoon,Sadness or melancholy,"While Traveling, leisure time",recommendations,3,Once a week,Lifestyle and Health,Educational,Both,Both,Satisfied,1,0,1,0,0,1,Computer,Teen Listener,0,0,1,0,1,0,0,0,Algorithm-driven,1,1,0,0,0,0,Light user
20-35,Female,1 year to 2 years,Computer or laptop,Free,No,None,Podcast,Classical,Morning,Uplifting and motivational,While Traveling,"Radio, Others",2,Several times a week,Lifestyle and Health,Story telling,Both,Shorter,Ok,0,0,1,0,0,1,Computer,Young Adult,0,1,0,0,0,0,1,1,Radio/Autoplay,1,0,0,0,0,0,Regular user
20-35,Female,1 year to 2 years,"Computer or laptop, Smart speakers or voice assistants",Free,No,None,Podcast,Classical,Morning,Uplifting and motivational,Workout session,Radio,2,Several times a week,Food and cooking,Story telling,unknown Podcasters,Longer,Ok,0,0,1,1,0,2,Computer,Young Adult,0,1,0,0,0,0,1,0,Radio/Autoplay,0,0,1,0,0,0,Regular user
12-20,Female,1 year to 2 years,Smart speakers or voice assistants,Premium,No,None,Podcast,Classical,Afternoon,Sadness or melancholy,"Study Hours, While Traveling","Playlists, Others",4,Several times a week,Health and Fitness,Interview,unknown Podcasters,Longer,Satisfied,0,0,0,1,0,1,Speaker,Teen Listener,0,0,1,0,0,1,0,1,Playlist-driven,1,0,0,1,0,0,Regular user
6-12,Female,6 months to 1 year,Smart speakers or voice assistants,Premium,Yes,Duo plan,Podcast,Classical,Morning,Uplifting and motivational,"Study Hours, While Traveling","Playlists, Radio",2,Once a week,Lifestyle and Health,Interview,Well known individuals,Both,Ok,1,0,0,1,0,1,Speaker,Teen Listener,0,1,0,0,0,1,1,0,Playlist-driven,1,0,0,1,0,0,Light user
20-35,Female,More than 2 years,"Computer or laptop, Smart speakers or voice assistants",Free,Yes,Family plan,Podcast,Classical,Morning,Uplifting and motivational,Workout session,Radio,2,Once a week,Health and Fitness,Interview,unknown Podcasters,Both,Ok,1,0,1,1,0,2,Computer,Young Adult,0,1,0,0,0,0,1,0,Radio/Autoplay,0,0,1,0,0,0,Light user
35-60,Male,6 months to 1 year,Computer or laptop,Free,No,None,Podcast,Melody,Morning,Sadness or melancholy,Workout session,Radio,3,Once a week,Health and Fitness,Interview,unknown Podcasters,Both,Dissatisfied,0,0,1,0,0,1,Computer,Adult Listener,0,0,1,0,0,0,1,0,Radio/Autoplay,0,0,1,0,0,0,Light user
12-20,Male,6 months to 1 year,Smart speakers or voice assistants,Free,Yes,Student plan,Podcast,Rap,Morning,Relaxation and stress relief,"While Traveling, Workout session","Playlists, Radio",3,Several times a week,Food and cooking,Interview,unknown Podcasters,Longer,Ok,1,0,0,1,0,1,Speaker,Teen Listener,1,0,0,0,0,1,1,0,Playlist-driven,1,0,1,0,0,0,Regular user
12-20,Female,1 year to 2 years,"Computer or laptop, Wearable devices",Premium,Yes,Duo plan,Podcast,Classical,Afternoon,Uplifting and motivational,"While Traveling, leisure time","Playlists, Others",2,Once a week,Health and Fitness,Story telling,unknown Podcasters,Both,Dissatisfied,1,0,1,0,1,2,Computer,Teen Listener,0,1,0,0,0,1,0,1,Playlist-driven,1,1,0,0,0,0,Light user
20-35,Female,6 months to 1 year,"Computer or laptop, Smart speakers or voice assistants",Free,Yes,Duo plan,Music,Classical,Afternoon,"Uplifting and motivational, Sadness or melancholy","Study Hours, Workout session","Playlists, Radio",2,Once a week,Sports,Story telling,Both,Longer,Ok,1,0,1,1,0,2,Computer,Young Adult,0,1,1,0,0,1,1,0,Playlist-driven,0,0,1,1,0,0,Light user
20-35,Female,6 months to 1 year,Smart speakers or voice assistants,Free,Yes,Duo plan,Podcast,Classical,Afternoon,Relaxation and stress relief,While Traveling,"Radio, Others",3,Once a week,Health and Fitness,Interview,unknown Podcasters,Longer,Ok,1,0,0,1,0,1,Speaker,Young Adult,1,0,0,0,0,0,1,1,Radio/Autoplay,1,0,0,0,0,0,Light user
35-60,Female,1 year to 2 years,Smart speakers or voice assistants,Free,Yes,Family plan,Music,Classical,Afternoon,Uplifting and motivational,"Study Hours, Workout session",Radio,2,Rarely,Health and Fitness,Interview,unknown Podcasters,Longer,Ok,1,0,0,1,0,1,Speaker,Adult Listener,0,1,0,0,0,0,1,0,Radio/Autoplay,0,0,1,1,0,0,Light user
20-35,Female,6 months to 1 year,Computer or laptop,Free,Yes,Family plan,Music,Classical,Morning,Uplifting and motivational,While Traveling,Playlists,3,Once a week,Health and Fitness,Educational,Both,Both,Ok,1,0,1,0,0,1,Computer,Young Adult,0,1,0,0,0,1,0,0,Playlist-driven,1,0,0,0,0,0,Light user
12-20,Female,6 months to 1 year,"Smartphone, Computer or laptop, Wearable devices",Free,No,None,Podcast,Classical,Morning,"Uplifting and motivational, Sadness or melancholy",Workout session,Others,4,Rarely,Sports,Story telling,Both,Longer,Dissatisfied,0,1,1,0,1,3,Smartphone,Teen Listener,0,1,1,0,0,0,0,1,External Discovery,0,0,1,0,0,0,Light user
35-60,Others,More than 2 years,Wearable devices,Premium,Yes,Family plan,Music,Electronic/Dance,Morning,Uplifting and motivational,"Study Hours, Workout session","Playlists, Radio, Others",2,Rarely,Health and Fitness,Story telling,Both,Longer,Satisfied,1,0,0,0,1,1,Wearable,Adult Listener,0,1,0,0,0,1,1,1,Playlist-driven,0,0,1,1,0,0,Light user
20-35,Female,6 months to 1 year,Computer or laptop,Free,No,None,Podcast,Rap,Morning,Uplifting and motivational,While Traveling,Playlists,2,Several times a week,Lifestyle and Health,Conversational,Both,Both,Dissatisfied,0,0,1,0,0,1,Computer,Young Adult,0,1,0,0,0,1,0,0,Playlist-driven,1,0,0,0,0,0,Regular user
20-35,Others,6 months to 1 year,Smart speakers or voice assistants,Free,No,None,Podcast,Classical,Morning,Social gatherings or parties,While Traveling,recommendations,2,Once a week,Lifestyle and Health,Interview,Well known individuals,Both,Very Satisfied,0,0,0,1,0,1,Speaker,Young Adult,0,0,0,1,1,0,0,0,Algorithm-driven,1,0,0,0,0,0,Light user
35-60,Female,6 months to 1 year,Smart speakers or voice assistants,Premium,No,None,Music,Melody,Night,Social gatherings or parties,While Traveling,Others,2,Once a week,Health and Fitness,Educational,unknown Podcasters,Longer,Ok,0,0,0,1,0,1,Speaker,Adult Listener,0,0,0,1,0,0,0,1,External Discovery,1,0,0,0,0,0,Light user
12-20,Male,6 months to 1 year,Smartphone,Free,No,None,Music,Melody,Night,Relaxation and stress relief,leisure time,Playlists,2,Never,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Ok,0,1,0,0,0,1,Smartphone,Teen Listener,1,0,0,0,0,1,0,0,Playlist-driven,0,1,0,0,0,0,Non-podcast user
35-60,Male,6 months to 1 year,Smartphone,Free,No,None,Music,Melody,Night,Uplifting and motivational,While Traveling,Playlists,4,Rarely,Comedy,Story telling,Both,Shorter,Satisfied,0,1,0,0,0,1,Smartphone,Adult Listener,0,1,0,0,0,1,0,0,Playlist-driven,1,0,0,0,0,0,Light user
20-35,Female,More than 2 years,Smartphone,Free,No,None,Music,Melody,Night,Relaxation and stress relief,While Traveling,"Playlists, Radio",4,Rarely,Comedy,Story telling,Both,Shorter,Satisfied,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,0,1,1,0,Playlist-driven,1,0,0,0,0,0,Light user
20-35,Male,Less than 6 months,Smartphone,Free,No,None,Music,Other,Night,Relaxation and stress relief,"While Traveling, leisure time",recommendations,3,Never,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,1,0,0,0,Algorithm-driven,1,1,0,0,0,0,Non-podcast user
20-35,Male,More than 2 years,Smartphone,Free,No,None,Music,Melody,Night,Relaxation and stress relief,"While Traveling, Workout session, leisure time",recommendations,4,Several times a week,Health and Fitness,Conversational,Well known individuals,Both,Satisfied,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,1,0,0,0,Algorithm-driven,1,1,1,0,0,0,Regular user
35-60,Female,1 year to 2 years,Smartphone,Free,No,None,Music,Melody,Morning,Relaxation and stress relief,leisure time,Playlists,5,Rarely,Comedy,Interview,Well known individuals,Shorter,Ok,0,1,0,0,0,1,Smartphone,Adult Listener,1,0,0,0,0,1,0,0,Playlist-driven,0,1,0,0,0,0,Light user
20-35,Female,6 months to 1 year,Smartphone,Free,No,None,Music,Melody,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties",While Traveling,"recommendations, Playlists",5,Several times a week,Comedy,Conversational,Both,Shorter,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,1,0,1,1,1,0,0,Hybrid: Rec + Playlist,1,0,0,0,0,0,Regular user
35-60,Female,More than 2 years,Smartphone,Premium,Yes,Duo plan,Music,Melody,Night,Relaxation and stress relief,leisure time,Playlists,5,Rarely,Food and cooking,Educational,Well known individuals,Shorter,Satisfied,1,1,0,0,0,1,Smartphone,Adult Listener,1,0,0,0,0,1,0,0,Playlist-driven,0,1,0,0,0,0,Light user
20-35,Female,1 year to 2 years,Smartphone,Free,No,None,Music,Electronic/Dance,Night,Relaxation and stress relief,leisure time,Playlists,5,Rarely,Comedy,Interview,Well known individuals,Shorter,Satisfied,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,0,1,0,0,Playlist-driven,0,1,0,0,0,0,Light user
20-35,Female,1 year to 2 years,Smartphone,Free,No,None,Music,Melody,Morning,Relaxation and stress relief,While Traveling,Playlists,4,Rarely,Lifestyle and Health,Story telling,Both,Shorter,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,0,1,0,0,Playlist-driven,1,0,0,0,0,0,Light user
20-35,Female,6 months to 1 year,Smartphone,Free,Yes,Student plan,Music,Pop,Night,Uplifting and motivational,"While Traveling, leisure time","Playlists, Radio",4,Never,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Ok,1,1,0,0,0,1,Smartphone,Young Adult,0,1,0,0,0,1,1,0,Playlist-driven,1,1,0,0,0,0,Non-podcast user
20-35,Male,1 year to 2 years,Smartphone,Free,No,None,Music,Melody,Night,Relaxation and stress relief,leisure time,Playlists,3,Rarely,Lifestyle and Health,Educational,Well known individuals,Both,Satisfied,0,1,0,0,0,1,Smartphone,Young Adult,1,0,0,0,0,1,0,0,Playlist-driven,0,1,0,0,0,0,Light user
20-35,Male,Less than 6 months,Smartphone,Free,No,None,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy, Social gatherings or parties","Office hours, While Traveling","recommendations, Playlists",1,Never,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,0,1,1,1,1,0,0,Hybrid: Rec + Playlist,1,0,0,0,1,0,Non-podcast user
20-35,Female,1 year to 2 years,Smartphone,Free,No,None,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational","Office hours, Study Hours, While Traveling, leisure time","recommendations, Playlists",3,Rarely,Lifestyle and Health,Story telling,Well known individuals,Shorter,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,1,0,0,1,1,0,0,Hybrid: Rec + Playlist,1,1,0,1,1,0,Light user
20-35,Female,More than 2 years,Smartphone,Free,No,None,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists, Others",4,Never,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Ok,0,1,0,0,0,1,Smartphone,Young Adult,1,1,1,1,1,1,0,1,Hybrid: Rec + Playlist,1,1,1,0,0,0,Non-podcast user
20-35,Female,Less than 6 months,Smartphone,Premium,Yes,Unknown,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy",While Traveling,"recommendations, Playlists",5,Rarely,Comedy,Conversational,Well known individuals,Shorter,Satisfied,1,1,0,0,0,1,Smartphone,Young Adult,1,0,1,0,1,1,0,0,Hybrid: Rec + Playlist,1,0,0,0,0,0,Light user
20-35,Male,6 months to 1 year,"Smartphone, Computer or laptop",Free,Yes,Student plan,Music,Classical,Morning,Relaxation and stress relief,"Study Hours, While Traveling, leisure time","recommendations, Playlists",4,Never,No Podcast Usage,No Podcast Usage,No Podcast Usage,No Podcast Usage,Ok,1,1,1,0,0,2,Smartphone,Young Adult,1,0,0,0,1,1,0,0,Hybrid: Rec + Playlist,1,1,0,1,0,0,Non-podcast user
20-35,Male,More than 2 years,"Smartphone, Computer or laptop",Free,No,None,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, leisure time","recommendations, Playlists",3,Rarely,Comedy,Interview,Well known individuals,Shorter,Ok,0,1,1,0,0,2,Smartphone,Young Adult,1,1,0,0,1,1,0,0,Hybrid: Rec + Playlist,1,1,0,0,0,0,Light user
